AREA,PERIMETER,SONWESTS_,SONWESTS_I,ISO_,SOVID_NEW,ISOC,SUID,NEWSUID,ISOC,SUID,SOILMAPUNI,SOIL1,PROP1,PRID1,SOIL2,PROP2,PRID2,SOIL3,PROP3,PRID3,SOIL4,PROP4,PRID4,SOIL5,PROP5,PRID5,SOIL6,PROP6,PRID6,SOIL7,PROP7,PRID7,SOIL8,PROP8,PRID8,SOIL9,PROP9,PRID9,SOIL10,PROP10,PRID10,longitude,latitude
0.204683,5.886525,31,30,EE,EE0026,EE,26.0,EE26,EE,26.0,GLe3PZc5PZh5HSs5 [EE26],GLe,56.0,EE0026R0102,PZc,14.0,EE0076R1783,PZh,15.0,EE0002R1881,HSs,15.0,EE0026RR026,,,,,,,,,,,,,,,,,,,24.06094627783024,59.05811520106213
0.004809,1.018433,32,31,EE,EEns1,,,EEns1,,,WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.818702188772093,59.12801723768913
0.030088,1.075032,33,32,EE,EE0027,EE,27.0,EE27,EE,27.0,HSs1 [EE27],HSs,100.0,EE0027RR027,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.667860570445082,59.14473917548856
0.025913,1.380587,34,33,EE,EE0030,EE,30.0,EE30,EE,30.0,HSf1 [EE30],HSf,100.0,EE0030RR030,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.119718933701844,59.16078783150296
0.108023,3.786503,35,34,EE,EE0029,EE,29.0,EE29,EE,29.0,PZc3PZh5HSf4GLe5 [EE29],PZc,40.0,EE0104R1998,PZh,15.0,EE0002R1881,HSf,30.0,EE0029RR029,GLe,15.0,EE0013R0002,,,,,,,,,,,,,,,,,,,27.29265958994977,59.04052440738612
0.02722,1.243734,36,35,EE,EE0031,EE,31.0,EE31,EE,31.0,GLk2CMg5HSs5 [EE31],GLk,70.0,EE0032R1611,CMg,15.0,EE0009R1616,HSs,15.0,EE0031RR031,,,,,,,,,,,,,,,,,,,,,,25.280422047680545,59.15295628228499
0.101319,2.916861,37,36,EE,EE0032,EE,32.0,EE32,EE,32.0,CMc3RGc5GLk5HSs5 [EE32],CMc,55.0,EE0012R1796,RGc,15.0,EE0009R2048,GLk,15.0,EE0032R1611,HSs,15.0,EE0032RR032,,,,,,,,,,,,,,,,,,,24.90333926795998,59.077641081034564
0.041773,1.599757,38,37,EE,EE0033,EE,33.0,EE33,EE,33.0,HSf1 [EE33],HSf,100.0,EE0033RR033,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.86204287379828,59.12326461798549
0.11932,3.353596,39,38,EE,EE0035,EE,35.0,EE35,EE,35.0,HSs1 [EE35],HSs,100.0,EE0035RR035,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.44694717407893,59.02262471253882
0.01599,0.928495,40,39,EE,EE0036,EE,36.0,EE36,EE,36.0,HSs1 [EE36],HSs,100.0,EE0036RR036,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.021734073457136,59.11178762824462
0.013109,0.450086,41,40,EE,EE0038,EE,38.0,EE38,EE,38.0,HSs1 [EE38],HSs,100.0,EE0038RR038,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.571685424653296,59.078972492824725
0.377265,8.098561,42,41,EE,EE0039,EE,39.0,EE39,EE,39.0,GLe2CMg5HSs5 [EE39],GLe,70.0,EE0039R2033,CMg,15.0,EE0009R1616,HSs,15.0,EE0039RR039,,,,,,,,,,,,,,,,,,,,,,25.045336486688132,58.783324514040125
