AREA,PERIMETER,SONWESTS_,SONWESTS_I,ISO_,DEGRAD_ID_,SOVID_NEW,ISOC,SUID,NEWSUID,ISOC,SUID,TCID,SCID,PROP,CLAF,PRID,DRAIN,LAYER,TOPDEP,BOTDEP,CFRAG,SDTO,STPC,CLPC,PSCL,BULK,TAWC,CECS,BSAT,CECC,PHAQ,TCEQ,GYPS,ELCO,TOTC,TOTN,ECEC,ALSA,ESP,longitude,latitude
0.000752,0.153992,30,29,EE,,EE0026,EE,26.0,EE26,EE,26.0,1.0,1.0,56.0,GLe,EE0026R0102,P,D1,0.0,20.0,0.0,85.0,8.0,7.0,C,1.17,46.0,9.7,79.0,-1.0,5.6,0.0,0.0,0.0,28.0,1.8,-1.0,0.0,1.0,23.39114716560571,59.294083154932096
0.204683,5.886525,31,30,EE,26-EE,EE0026,EE,26.0,EE26,EE,26.0,1.0,1.0,56.0,GLe,EE0026R0102,P,D1,0.0,20.0,0.0,85.0,8.0,7.0,C,1.17,46.0,9.7,79.0,-1.0,5.6,0.0,0.0,0.0,28.0,1.8,-1.0,0.0,1.0,24.06094627783024,59.05811520106213
0.004809,1.018433,32,31,EE,25-EE,EEns1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.818702188772093,59.12801723768913
0.030088,1.075032,33,32,EE,27-EE,EE0027,EE,27.0,EE27,EE,27.0,1.0,1.0,100.0,HSs,EE0027RR027,V,D1,0.0,20.0,1.0,-1.0,-1.0,-1.0,O,0.36,35.0,88.0,76.0,-1.0,5.6,0.0,0.0,0.0,399.57001,27.83,-1.0,-1.0,1.0,26.667860570445082,59.14473917548856
0.025913,1.380587,34,33,EE,30-EE,EE0030,EE,30.0,EE30,EE,30.0,1.0,1.0,100.0,HSf,EE0030RR030,V,D1,0.0,20.0,1.0,-1.0,-1.0,-1.0,O,0.1,35.0,86.0,40.0,-1.0,4.28,0.0,0.0,0.0,330.12,15.21,-1.0,-1.0,2.0,27.119718933701844,59.16078783150296
0.108023,3.786503,35,34,EE,29-EE,EE0029,EE,29.0,EE29,EE,29.0,1.0,1.0,40.0,PZc,EE0104R1998,I,D1,0.0,20.0,1.0,80.0,16.0,4.0,C,0.97,29.0,5.7,9.0,35.0,3.75,0.0,0.0,0.0,141.2,6.38,-1.0,63.0,0.0,27.29265958994977,59.04052440738612
0.02722,1.243734,36,35,EE,31-EE,EE0031,EE,31.0,EE31,EE,31.0,1.0,1.0,70.0,GLk,EE0032R1611,I,D1,0.0,20.0,10.0,69.0,24.0,7.0,M,1.06,46.0,31.15,91.0,131.5,7.0,5.0,0.0,0.9,32.5,3.5,-1.0,0.0,1.0,25.280422047680545,59.15295628228499
0.101319,2.916861,37,36,EE,32-EE,EE0032,EE,32.0,EE32,EE,32.0,1.0,1.0,55.0,CMc,EE0012R1796,W,D1,0.0,20.0,10.0,57.0,30.0,13.0,M,1.5,33.0,13.5,89.0,55.0,6.8,3.0,0.0,0.3,18.0,1.7,-1.0,0.0,1.0,24.90333926795998,59.077641081034564
0.041773,1.599757,38,37,EE,33-EE,EE0033,EE,33.0,EE33,EE,33.0,1.0,1.0,100.0,HSf,EE0033RR033,V,D1,0.0,20.0,1.0,-1.0,-1.0,-1.0,O,0.1,35.0,86.0,40.0,-1.0,4.28,0.0,0.0,0.0,330.12,15.21,-1.0,-1.0,2.0,23.86204287379828,59.12326461798549
0.11932,3.353596,39,38,EE,35-EE,EE0035,EE,35.0,EE35,EE,35.0,1.0,1.0,100.0,HSs,EE0035RR035,V,D1,0.0,20.0,1.0,-1.0,-1.0,-1.0,O,0.36,35.0,88.0,76.0,-1.0,5.6,0.0,0.0,0.0,399.57001,27.83,-1.0,-1.0,1.0,25.44694717407893,59.02262471253882
0.01599,0.928495,40,39,EE,36-EE,EE0036,EE,36.0,EE36,EE,36.0,1.0,1.0,100.0,HSs,EE0036RR036,V,D1,0.0,20.0,1.0,-1.0,-1.0,-1.0,O,0.36,35.0,88.0,76.0,-1.0,5.6,0.0,0.0,0.0,399.57001,27.83,-1.0,-1.0,1.0,25.021734073457136,59.11178762824462
0.013109,0.450086,41,40,EE,38-EE,EE0038,EE,38.0,EE38,EE,38.0,1.0,1.0,100.0,HSs,EE0038RR038,V,D1,0.0,20.0,1.0,-1.0,-1.0,-1.0,O,0.36,35.0,88.0,76.0,-1.0,5.6,0.0,0.0,0.0,399.57001,27.83,-1.0,-1.0,1.0,24.571685424653296,59.078972492824725
0.377265,8.098561,42,41,EE,39-EE,EE0039,EE,39.0,EE39,EE,39.0,1.0,1.0,70.0,GLe,EE0039R2033,P,D1,0.0,20.0,0.0,9.0,30.0,61.0,V,0.96,33.0,71.6,86.0,78.0,7.1,5.0,1.0,0.1,69.0,6.0,-1.0,0.0,0.0,25.045336486688132,58.783324514040125
0.024948,1.097277,43,42,EE,41-EE,EE0041,EE,41.0,EE41,EE,41.0,1.0,1.0,100.0,HSf,EE0041RR041,V,D1,0.0,20.0,1.0,-1.0,-1.0,-1.0,O,0.1,35.0,86.0,40.0,-1.0,4.28,0.0,0.0,0.0,330.12,15.21,-1.0,-1.0,2.0,24.125381025348187,58.99372240083397
0.015726,0.667534,44,43,EE,42-EE,EE0042,EE,42.0,EE42,EE,42.0,1.0,1.0,70.0,GLe,EE0026R0102,P,D1,0.0,20.0,0.0,85.0,8.0,7.0,C,1.17,46.0,9.7,79.0,-1.0,5.6,0.0,0.0,0.0,28.0,1.8,-1.0,0.0,1.0,23.521942521019618,59.03167064035589
0.021422,1.064042,45,44,EE,40-EE,EE0040,EE,40.0,EE40,EE,40.0,1.0,1.0,70.0,GLe,EE0056PRN08,P,D1,0.0,20.0,0.0,93.0,3.0,4.0,C,0.75,46.0,4.3,84.0,-1.0,5.7,0.0,0.0,0.0,96.0,17.0,-1.0,0.0,2.0,22.559710381462608,58.98733060935285
0.044142,1.615984,46,45,EE,43-EE,EE0043,EE,43.0,EE43,EE,43.0,1.0,1.0,45.0,RGc,EE0009R2048,S,D1,0.0,20.0,28.0,49.0,34.0,17.0,M,1.29,37.0,13.6,100.0,33.0,7.4,170.0,1.0,0.12,23.0,3.0,-1.0,0.0,1.0,23.61670335173608,58.927428568600845
0.053944,1.747573,47,46,EE,45-EE,EE0045,EE,45.0,EE45,EE,45.0,1.0,1.0,70.0,GLe,EE0039R2033,P,D1,0.0,20.0,0.0,9.0,30.0,61.0,V,0.96,33.0,71.6,86.0,78.0,7.1,5.0,1.0,0.1,69.0,6.0,-1.0,0.0,0.0,23.786339196377366,58.85393620518003
0.03301,1.2016,48,47,EE,44-EE,EE0044,EE,44.0,EE44,EE,44.0,1.0,1.0,40.0,PZc,EE0044PRN02,I,D1,0.0,20.0,0.0,92.0,5.0,3.0,C,1.01,25.0,41.54,19.0,78.0,3.36,0.0,0.0,0.0,154.2,4.86,-1.0,41.0,0.0,22.60790424609736,58.92886494020592
0.006583,0.601415,49,48,EE,46-EE,EE0046,EE,46.0,EE46,EE,46.0,1.0,1.0,65.0,RGc,EE0061R1901,S,D1,0.0,20.0,14.0,84.0,6.0,10.0,C,0.84,46.0,37.68,98.0,113.6,7.0,22.4,0.2,0.24,69.8,5.4,-1.0,0.0,1.0,23.192198914958674,59.003672083935946
0.043297,1.804518,50,49,EE,48-EE,EE0048,EE,48.0,EE48,EE,48.0,1.0,1.0,85.0,GLe,EE0072R0104,P,D1,0.0,20.0,0.0,25.0,45.0,30.0,M,1.22,30.0,30.2,40.0,33.0,5.2,0.0,0.0,0.0,58.0,5.0,-1.0,11.0,1.0,24.35299329012458,58.88544553783806
0.007987,0.496865,51,50,EE,47-EE,EE0047,EE,47.0,EE47,EE,47.0,1.0,1.0,70.0,GLk,EE0061R1900,I,D1,0.0,20.0,19.0,80.0,10.0,10.0,C,0.9,47.0,30.15,100.0,78.5,7.1,36.5,0.5,0.9,65.0,4.0,-1.0,0.0,0.0,23.29931766825035,59.005326061348185
0.020853,0.987512,52,51,EE,50-EE,EE0050,EE,50.0,EE50,EE,50.0,1.0,1.0,45.0,RGc,EE0102R1643,S,D1,0.0,20.0,19.0,62.0,26.0,12.0,M,1.15,42.0,27.25,100.0,105.5,7.2,108.0,1.0,0.12,37.5,3.5,-1.0,0.0,0.0,22.901857755322148,58.9319673946367
0.255158,3.682753,53,52,EE,49-EE,EEns1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.324948222171898,58.72673971776321
0.558277,9.821923,54,53,EE,52-EE,EE0052,EE,52.0,EE52,EE,52.0,1.0,1.0,30.0,LVj,EE0052R1818,M,D1,0.0,20.0,4.0,48.0,43.0,9.0,M,1.18,45.0,5.4,40.0,-1.0,4.4,0.0,0.0,0.0,19.0,1.2,-1.0,38.0,4.0,26.944056109577705,58.26616808229233
0.029002,1.311594,55,54,EE,53-EE,EE0053,EE,53.0,EE53,EE,53.0,1.0,1.0,56.0,CMc,EE0071R1803,W,D1,0.0,20.0,10.0,60.0,31.0,9.0,M,1.11,43.0,11.8,82.0,19.5,6.55,2.25,0.0,0.22,29.0,2.75,-1.0,0.0,1.0,24.53523075803493,58.907655705540215
0.039344,1.312453,56,55,EE,55-EE,EE0055,EE,55.0,EE55,EE,55.0,1.0,1.0,70.0,GLe,EE0052R1781,P,D1,0.0,20.0,4.0,49.0,43.0,8.0,M,0.93,33.0,38.1,91.0,131.0,7.0,7.0,0.0,0.11,79.0,7.0,-1.0,0.0,1.0,26.86084009810976,58.82977847007062
0.000149,0.05328,57,56,EE,,EE0043,EE,43.0,EE43,EE,43.0,1.0,1.0,45.0,RGc,EE0009R2048,S,D1,0.0,20.0,28.0,49.0,34.0,17.0,M,1.29,37.0,13.6,100.0,33.0,7.4,170.0,1.0,0.12,23.0,3.0,-1.0,0.0,1.0,23.39108039701365,58.94324696298319
0.045549,1.272105,58,57,EE,57-EE,EE0057,EE,57.0,EE57,EE,57.0,1.0,1.0,100.0,HSf,EE0057RR057,V,D1,0.0,20.0,1.0,-1.0,-1.0,-1.0,O,0.1,35.0,86.0,40.0,-1.0,4.28,0.0,0.0,0.0,330.12,15.21,-1.0,-1.0,2.0,26.112631264074757,58.839229844585915
0.071951,2.168465,59,58,EE,56-EE,EE0056,EE,56.0,EE56,EE,56.0,1.0,1.0,70.0,GLe,EE0056PRN08,P,D1,0.0,20.0,0.0,93.0,3.0,4.0,C,0.75,46.0,4.3,84.0,-1.0,5.7,0.0,0.0,0.0,96.0,17.0,-1.0,0.0,2.0,22.65028422066436,58.82866987890781
0.010588,0.680854,60,59,EE,54-EE,EE0054,EE,54.0,EE54,EE,54.0,1.0,1.0,75.0,PZh,EE0044PRT14,W,D1,0.0,20.0,1.0,91.0,7.0,2.0,C,1.16,29.0,30.88,17.0,17.0,3.59,0.0,0.0,0.0,118.3,4.29,-1.0,40.0,1.0,22.187409436344552,58.911165599393435
0.000654,0.110329,61,60,EE,,EE0050,EE,50.0,EE50,EE,50.0,1.0,1.0,45.0,RGc,EE0102R1643,S,D1,0.0,20.0,19.0,62.0,26.0,12.0,M,1.15,42.0,27.25,100.0,105.5,7.2,108.0,1.0,0.12,37.5,3.5,-1.0,0.0,0.0,23.031978272183043,58.91587351029994
0.060967,1.937675,62,61,EE,58-EE,EE0058,EE,58.0,EE58,EE,58.0,1.0,1.0,85.0,GLe,EE0072R0104,P,D1,0.0,20.0,0.0,25.0,45.0,30.0,M,1.22,30.0,30.2,40.0,33.0,5.2,0.0,0.0,0.0,58.0,5.0,-1.0,11.0,1.0,23.96681519762984,58.79610087230199
0.141427,3.451314,63,62,EE,59-EE,EE0059,EE,59.0,EE59,EE,59.0,1.0,1.0,50.0,CMc,EE0059R1656,W,D1,0.0,20.0,10.0,44.0,45.0,11.0,M,1.38,34.0,12.6,85.0,56.75,6.8,3.0,0.0,0.3,19.0,2.0,-1.0,0.0,1.0,26.009919768467157,58.674154794060414
0.014881,0.739657,64,63,EE,60-EE,EE0060,EE,60.0,EE60,EE,60.0,1.0,1.0,100.0,HSs,EE0060RR060,V,D1,0.0,20.0,1.0,-1.0,-1.0,-1.0,O,0.36,35.0,88.0,76.0,-1.0,5.6,0.0,0.0,0.0,399.57001,27.83,-1.0,-1.0,1.0,26.484959382902357,58.80669074372867
0.000122,0.047705,65,64,EE,,EE0043,EE,43.0,EE43,EE,43.0,1.0,1.0,45.0,RGc,EE0009R2048,S,D1,0.0,20.0,28.0,49.0,34.0,17.0,M,1.29,37.0,13.6,100.0,33.0,7.4,170.0,1.0,0.12,23.0,3.0,-1.0,0.0,1.0,23.407571476988267,58.83743951771997
0.000293,0.075692,66,65,EE,,EE0050,EE,50.0,EE50,EE,50.0,1.0,1.0,45.0,RGc,EE0102R1643,S,D1,0.0,20.0,19.0,62.0,26.0,12.0,M,1.15,42.0,27.25,100.0,105.5,7.2,108.0,1.0,0.12,37.5,3.5,-1.0,0.0,0.0,23.131267723332957,58.832492471151994
0.000377,0.0864,67,66,EE,,EE0043,EE,43.0,EE43,EE,43.0,1.0,1.0,45.0,RGc,EE0009R2048,S,D1,0.0,20.0,28.0,49.0,34.0,17.0,M,1.29,37.0,13.6,100.0,33.0,7.4,170.0,1.0,0.12,23.0,3.0,-1.0,0.0,1.0,23.46424946044671,58.82314781156646
0.000192,0.064852,68,67,EE,,EE0050,EE,50.0,EE50,EE,50.0,1.0,1.0,45.0,RGc,EE0102R1643,S,D1,0.0,20.0,19.0,62.0,26.0,12.0,M,1.15,42.0,27.25,100.0,105.5,7.2,108.0,1.0,0.12,37.5,3.5,-1.0,0.0,0.0,23.074279845313796,58.81860265885224
0.003239,0.424874,69,68,EE,61-EE,EE0061,EE,61.0,EE61,EE,61.0,1.0,1.0,60.0,RGc,EE0061R1901,S,D1,0.0,20.0,14.0,84.0,6.0,10.0,C,0.84,46.0,37.68,98.0,113.6,7.0,22.4,0.2,0.24,69.8,5.4,-1.0,0.0,1.0,22.8327929217159,58.796673388685065
0.05968,1.616954,70,69,EE,62-EE,EE0062,EE,62.0,EE62,EE,62.0,1.0,1.0,40.0,LVk,EE0059R1811,W,D1,0.0,20.0,10.0,44.0,47.0,9.0,M,1.39,38.0,9.4,80.0,50.0,6.3,0.0,0.0,0.0,14.0,1.4,-1.0,0.0,1.0,26.53456610572443,58.61292854252788
0.000263,0.079349,71,70,EE,,EE0050,EE,50.0,EE50,EE,50.0,1.0,1.0,45.0,RGc,EE0102R1643,S,D1,0.0,20.0,19.0,62.0,26.0,12.0,M,1.15,42.0,27.25,100.0,105.5,7.2,108.0,1.0,0.12,37.5,3.5,-1.0,0.0,0.0,23.00452629543303,58.80742838979092
0.034279,0.978176,72,71,EE,64-EE,EE0064,EE,64.0,EE64,EE,64.0,1.0,1.0,65.0,PZc,EE0076R1783,P,D1,0.0,20.0,0.0,86.0,10.0,4.0,C,0.25,14.0,24.55,40.0,-1.0,4.2,0.0,0.0,0.0,327.5,18.0,-1.0,35.0,0.0,25.226419706574482,58.67846328356311
0.000134,0.047438,73,72,EE,,EE0050,EE,50.0,EE50,EE,50.0,1.0,1.0,45.0,RGc,EE0102R1643,S,D1,0.0,20.0,19.0,62.0,26.0,12.0,M,1.15,42.0,27.25,100.0,105.5,7.2,108.0,1.0,0.12,37.5,3.5,-1.0,0.0,0.0,23.052933403579363,58.77903940729458
0.000127,0.054129,74,73,EE,,EE0050,EE,50.0,EE50,EE,50.0,1.0,1.0,45.0,RGc,EE0102R1643,S,D1,0.0,20.0,19.0,62.0,26.0,12.0,M,1.15,42.0,27.25,100.0,105.5,7.2,108.0,1.0,0.12,37.5,3.5,-1.0,0.0,0.0,23.17980698870881,58.75504005025463
0.023725,1.185616,75,74,EE,65-EE,EE0065,EE,65.0,EE65,EE,65.0,1.0,1.0,45.0,RGc,EE0102R1643,S,D1,0.0,20.0,19.0,62.0,26.0,12.0,M,1.15,42.0,27.25,100.0,105.5,7.2,108.0,1.0,0.12,37.5,3.5,-1.0,0.0,0.0,23.593629081775465,58.648997837496694
0.06869,2.229525,76,75,EE,66-EE,EE0066,EE,66.0,EE66,EE,66.0,1.0,1.0,100.0,HSf,EE0066RR066,V,D1,0.0,20.0,1.0,-1.0,-1.0,-1.0,O,0.1,35.0,86.0,40.0,-1.0,4.28,0.0,0.0,0.0,330.12,15.21,-1.0,-1.0,2.0,24.185502868524736,58.59798068794205
0.027019,0.932544,77,76,EE,68-EE,EE0068,EE,68.0,EE68,EE,68.0,1.0,1.0,70.0,GLe,EE0103R1791,I,D1,0.0,20.0,4.0,50.0,42.0,8.0,M,1.41,39.0,15.35,80.0,99.0,6.22,0.0,0.0,0.0,21.25,2.4,-1.0,0.0,1.0,26.433668697209928,58.55485880687082
0.034293,0.90275,78,77,EE,67-EE,EE0067,EE,67.0,EE67,EE,67.0,1.0,1.0,40.0,PZc,EE0104R1998,I,D1,0.0,20.0,1.0,80.0,16.0,4.0,C,0.97,29.0,5.7,9.0,35.0,3.75,0.0,0.0,0.0,141.2,6.38,-1.0,63.0,0.0,26.935917638881676,58.622511516972075
0.133567,2.724855,79,78,EE,69-EE,EE0069,EE,69.0,EE69,EE,69.0,1.0,1.0,70.0,GLe,EE0076R1621,P,D1,0.0,20.0,0.0,87.0,10.0,3.0,C,1.18,46.0,11.5,80.0,68.0,6.2,0.0,0.0,0.0,27.0,3.0,-1.0,0.0,1.0,23.924704743455635,58.45115523530761
0.031289,0.996631,80,79,EE,70-EE,EE0070,EE,70.0,EE70,EE,70.0,1.0,1.0,40.0,RGc,EE0102R1643,S,D1,0.0,20.0,19.0,62.0,26.0,12.0,M,1.15,42.0,27.25,100.0,105.5,7.2,108.0,1.0,0.12,37.5,3.5,-1.0,0.0,0.0,23.24929627585725,58.605806380495224
